name,emotion,filepath
Lan Cuoi,Sad,music/Lan_Cuoi.mp3
Red Rain,Sad,music/Red_Rain.mp3
T9 - THIÊN NGỰ NGUYÊN prod. NGÔ HẠO,Sad,music/T9 - THIÊN NGỰ NGUYÊN prod. NGÔ HẠO.mp3
WhenRainComes,Sad,music/WhenRainComes.mp3
Aerosmith - I Don't Want to Miss a Thing,Sad,music/Aerosmith - I Don't Want to Miss a Thing.mp3
Marshmello ft. Bastille - Happier,Sad,music/Marshmello ft. Bastille - Happier.mp3
Ngày Xuân Long Phụng Sum Vầy VITAS,Happy,music/TetVitas.mp3
UrDaBest,Happy,music/UrDaBest.mp3
congratulation,Happy,music/congratulation.mp3
Vanessa Carlton - A Thousand Miles,Happy,music/Vanessa Carlton - A Thousand Miles.mp3
Pharrell Williams - Happy,Happy,music/Pharrell Williams - Happy.mp3
UrDaBest,Neutral,music/UrDaBest.mp3
RiverFlowInYou_Remix,Neutral,music/RiverFlowInYou_Remix.mp3
Aerosmith - I Don't Want to Miss a Thing,Neutral,music/Aerosmith - I Don't Want to Miss a Thing.mp3
Modern Talking - Cheri Cheri Lady,Neutral,music/Modern Talking - Cheri Cheri Lady.mp3
T9 - THIÊN NGỰ NGUYÊN prod. NGÔ HẠO,Neutral,music/T9 - THIÊN NGỰ NGUYÊN prod. NGÔ HẠO.mp3
I WANT IT THAT WAY - 80's POWER BALLAD REMIX,Neutral,music/I WANT IT THAT WAY - 80's POWER BALLAD REMIX.mp3
JUstice,Angry,music/phonk.mp3
basobeso,Angry,music/basobeso.mp3
FNAF 10th Anniversary Orchestral Special,Angry,music/FNAF 10th Anniversary Orchestral Special.mp3
congratulation,Surprised,music/congratulation.mp3
Rick Astley - Never Gonna Give You Up,Surprised,music/Rick Astley - Never Gonna Give You Up.mp3
Radiohead - No Surprises,Surprised,music/Radiohead - No Surprises.mp3
Anh Vui x Dianguctrangian,Disgusted,music/AnhVuixDiaNgucTranGian.mp3
GrimSoul_Eisenberg_theme 1,Fearful,music/fear_1.mp3
